food,lyric,song,album,notes,type of food,,
fish grease,"FUCK A SKI MASK!! I'm hot as fish grease / LET THE FULLY BLAST!! May he [R]est [I]n [P]iss. Man, smash up outta there!",it is what it is,Tha Hall of Game,,,,
pruno,"I'll be up in that bitch makin spreads, drinkin Pruno",it is what it is,Tha Hall of Game,,alcoholic beverage,,
Hurricane,"So if you ain't got your Hurricane Ethel, you best to go fetch it A-S-A-P / And here go the recipe / One-fifty-one Bacardi dark / Bacardi light / Triple Sec / Grenadine / Pineapple juice / And an empty container of Arrowhead water",Intro (In A Major Way),In A Major Way,,alcoholic beverage,,
bacardi 151,"So if you ain't got your Hurricane Ethel, you best to go fetch it A-S-A-P / And here go the recipe / One-fifty-one Bacardi dark / Bacardi light / Triple Sec / Grenadine / Pineapple juice / And an empty container of Arrowhead water",Intro (In A Major Way),In A Major Way,,alcoholic beverage,,
bacardi light,"So if you ain't got your Hurricane Ethel, you best to go fetch it A-S-A-P / And here go the recipe / One-fifty-one Bacardi dark / Bacardi light / Triple Sec / Grenadine / Pineapple juice / And an empty container of Arrowhead water",Intro (In A Major Way),In A Major Way,,alcoholic beverage,,
triple sec,"So if you ain't got your Hurricane Ethel, you best to go fetch it A-S-A-P / And here go the recipe / One-fifty-one Bacardi dark / Bacardi light / Triple Sec / Grenadine / Pineapple juice / And an empty container of Arrowhead water",Intro (In A Major Way),In A Major Way,,alcoholic beverage,,
grenadine,"So if you ain't got your Hurricane Ethel, you best to go fetch it A-S-A-P / And here go the recipe / One-fifty-one Bacardi dark / Bacardi light / Triple Sec / Grenadine / Pineapple juice / And an empty container of Arrowhead water",Intro (In A Major Way),In A Major Way,,alcoholic beverage,,
pineapple juice,"So if you ain't got your Hurricane Ethel, you best to go fetch it A-S-A-P / And here go the recipe / One-fifty-one Bacardi dark / Bacardi light / Triple Sec / Grenadine / Pineapple juice / And an empty container of Arrowhead water",Intro (In A Major Way),In A Major Way,,alcoholic beverage,,
arrowhead water,"So if you ain't got your Hurricane Ethel, you best to go fetch it A-S-A-P / And here go the recipe / One-fifty-one Bacardi dark / Bacardi light / Triple Sec / Grenadine / Pineapple juice / And an empty container of Arrowhead water",Intro (In A Major Way),In A Major Way,,beverage,,
bacon,"In the mornin, cookin bacon / In the ghetto in the bullet-proof apron",da bumble,In A Major Way,crack,,,
cotton candy ,I'm tryin' to get nigga rich / Open up a shop cotton candy and licorice,da bumble,In A Major Way,,,,
licorice,I'm tryin' to get nigga rich / Open up a shop cotton candy and licorice,da bumble,In A Major Way,,,,
grand marnier,"We used to perv, grind, turf grind, drink wine, Grand Mar' / Kahlua, milk and brandy almost every day / Cognac is cool, but I'm on gin (gin)",sideways,In A Major Way,,alcoholic beverage,,
kahlua,"We used to perv, grind, turf grind, drink wine, Grand Mar' / Kahlua, milk and brandy almost every day / Cognac is cool, but I'm on gin (gin)",sideways,In A Major Way,,alcoholic beverage,,
milk,"We used to perv, grind, turf grind, drink wine, Grand Mar' / Kahlua, milk and brandy almost every day / Cognac is cool, but I'm on gin (gin)",sideways,In A Major Way,,beverage,,
neckbone,"See I'mma hog nigga, Beverly Hillbilly / Neckbone, ox tails, pork 'n beans and chili",sideways,In A Major Way,,,,
ox tail,"See I'mma hog nigga, Beverly Hillbilly / Neckbone, ox tails, pork 'n beans and chili",sideways,In A Major Way,,,,
pork and beans,"See I'mma hog nigga, Beverly Hillbilly / Neckbone, ox tails, pork 'n beans and chili",sideways,In A Major Way,,,,
chili,"See I'mma hog nigga, Beverly Hillbilly / Neckbone, ox tails, pork 'n beans and chili",sideways,In A Major Way,,,,
pruno,"1-Luv to my niggas in the You Know / Gettin' swoll, bulkin' up, drinkin' pruno",spittin,In A Major Way,,alcoholic beverage,,
hostess cupcakes,I ain't no cupcake (I ain't no cupcake) / So don't call me Hostess (Hostess),spittin,In A Major Way,,,,
trader joes,"Sportin somethin for the haters / Terminator, instigator, nigga just bought from Traders",spittin,In A Major Way,,,,
metamucil,Running through these lyrics as if I was fibered / Like Metamucil,spittin,In A Major Way,,,,
kool-aid,Buy me a drank man I know it's against the law im underage be a good sport / What you need my little comrade a packet of kool-aid and some whiteport,smoke n drank,In A Major Way,,beverage,,
potted meat,"Hit the streets and make a wheelbarrow full of bread if I end up dead / Then press delete, I'm tired of eating potted meat",fed,In A Major Way,,,,
sardines,"I'm FedEx, heavy duty nigga, pushin' weight (pushin' weight) / From sardines and Spam to Teriyaki steak; motherfucker ain't",fed,In A Major Way,,,,
spam,"I'm FedEx, heavy duty nigga, pushin' weight (pushin' weight) / From sardines and Spam to Teriyaki steak; motherfucker ain't",fed,In A Major Way,,,,
teriyaki steak,"I'm FedEx, heavy duty nigga, pushin' weight (pushin' weight) / From sardines and Spam to Teriyaki steak; motherfucker ain't",fed,In A Major Way,,,,
lobster,"I told you from the gate that I'm a mobster / Sippin DP, eatin lobster",h i double l,In A Major Way,,,,
prune,Last night I had a superbad in my room / She sucked me 'til my dick shriveled up like a prune,h i double l,In A Major Way,,produce,,
beefeater gin,"Beefeater, Tanqueray, Sapphire, Bombay / Either that or a punch bowl full of Hurricane Ethel",h i double l,In A Major Way,,alcoholic beverage,,
tanqueray gin,"Beefeater, Tanqueray, Sapphire, Bombay / Either that or a punch bowl full of Hurricane Ethel",h i double l,In A Major Way,,alcoholic beverage,,
bombay sapphire gin,"Beefeater, Tanqueray, Sapphire, Bombay / Either that or a punch bowl full of Hurricane Ethel",h i double l,In A Major Way,,alcoholic beverage,,
hurricane (drink),"Beefeater, Tanqueray, Sapphire, Bombay / Either that or a punch bowl full of Hurricane Ethel",h i double l,In A Major Way,,alcoholic beverage,,
ever clear,"Baththub full of liquor and wine / M.D. 20/20, Ever Clear, and Rossi wine",rat heads,Federal,,alcoholic beverage,,
carlos rossi,"Baththub full of liquor and wine / M.D. 20/20, Ever Clear, and Rossi wine",rat heads,Federal,,alcoholic beverage,,
pizza,It's like pizza y'all / Rat heads gettin' nothin' but cheese y'all,rat heads,Federal,,,,
macaroni,"Napoleon, macaroni, we serve hot-bellied pig / 96, 6 big screen television I bought for my kid",federal,Federal,,,,
hot-bellied pig,"Napoleon, macaroni, we serve hot-bellied pig / 96, 6 big screen television I bought for my kid",federal,Federal,,,,
carlos rossi,The Rossi got me smellin' like I'm dead inside / I'm stankin' up the bathroom with nothin' to hide,outsmart the po-po's,Federal,,alcoholic beverage,,
tanqueray gin,"It's Saturday night and to the nightclub (yeah) / I got Tanqueray, juice, and the green bud (and the green bud)",outsmart the po-po's,Federal,,alcoholic beverage,,
carlos rossi RHINE,the entire song of carlos rossi,carlos rossi,Federal,,alcoholic beverage,,
chicken,"Ray, you bring the chicken; Kaveo, you bring the links / Mugzy, you bring the hamburger meat, and I'll supply the Drinks",carlos rossi,Federal,,,,
links,"Ray, you bring the chicken; Kaveo, you bring the links / Mugzy, you bring the hamburger meat, and I'll supply the Drinks",carlos rossi,Federal,,,,
hamburger meat,"Ray, you bring the chicken; Kaveo, you bring the links / Mugzy, you bring the hamburger meat, and I'll supply the Drinks",carlos rossi,Federal,,,,
four slabs of ribs,"Shit, it's fixin' to be on dammit / I got Suga-T in the house whippin' up some potato salad / Four slabs of ribs up in the refrigerator marinatin'",carlos rossi,Federal,,,,
potato salad,"Shit, it's fixin' to be on dammit / I got Suga-T in the house whippin' up some potato salad / Four slabs of ribs up in the refrigerator marinatin'",carlos rossi,Federal,,,,
steak,"I said, ""Nathan"" (Nathan) / ""How 'bout some steak and wine and an autograph?"" / I scratched the top of my head and then I started to laugh",carlos rossi,Federal,,,,
wine,"I said, ""Nathan"" (Nathan) / ""How 'bout some steak and wine and an autograph?"" / I scratched the top of my head and then I started to laugh",carlos rossi,Federal,,alcoholic beverage,,
now and laters,"Here comes Tanji, Tanji, and I’m feeling great / ""Tanji, you got some Now or Laters?"" / She said, ""Why, you been drinking Brandy separators?""",tanji ii,Federal,,,,
peanut,I know he didn't think that you were some kind of peanut or somethin' / He must of been retarded to the fact that you get a thrill out of killin',let him have it,Federal,,,,
peanut,I can't let em know I'm stuck / I roast bitches but I'm not a damn peanut,let him have it,Federal,,,,
trix,They went out they way to make sure that I didn't get it / But now tricks is for kids silly rabbit,let him have it,Federal,,,,
pork chop,"Pork chop I eat (yes), but liver I will not (nah) / When mommy’s cooking stew I put ma finger in d pot",rasta funky style,Federal,,,,
liver,"Pork chop I eat (yes), but liver I will not (nah) / When mommy’s cooking stew I put ma finger in d pot",rasta funky style,Federal,,,,
pickle,The bitch had her some game though / Ya know she deep throated my pickle...and oh,neva broke,The Mail Man,,condiment,,
denny's,"He said ""Where you at?"" I said I'm in Vallejo / He said I tell you what lets hook up me and you at Dennys in the Vill'",bring the yellow tape,The Mail Man,,,,
denny's,Wassup my Naga you ready to ride on these ho ass block busters / Thats me an Herb talking outside of Denny's smoking a beedie sittin in my Cutlass,bring the yellow tape,The Mail Man,,,,
broccoli,"Got me a baggy full of broccoli and a crooked Ides 22 / I feel great, I'm mean muggin', but I feel great",practice lookin hard,The Mail Man,"I started calling medicinal [weed] “broccoli” because it’s green and bushy. I was looking at some medical back in 1993 with my producer Studio Ton and we was like, “Man, look at it—it looks exactly like broccoli.” I call it “lettuce” too. In the “Practice Looking Hard” video, I show the broccoli in my hand.",produce,,
cookies,"Left the cookies in the jar, now I'm a rap star",where the party at,The Mail Man,,,,
pork,"Nothin' against the Muslims, but I was raised eatin' swine / Trapped in the gidname since 1979",the mail man,The Mail Man,,,,
burnt spaghetti,"My pores is stinkin' and I'm all sweaty / Hallucinatin', smellin' like burnt spaghetti",the mail man,The Mail Man,,,,
cognac,"Old school gangsta style, smokin' dank Cognac lounge beat",mr. flamboyant,Mr. Flamboyant,,alcoholic beverage,,
grand marnier,"[?], Feds and the DEA / Yeah, just to run up on me when I'm off that there Grand Marnier",mr. flamboyant,Mr. Flamboyant,,alcoholic beverage,,
potatos and gravy,"You can't be frail and don't be light in ya lil’ narrow tail / Gain some weight, drink beer with potatoes and gravy, it’s not too late",mr. flamboyant,Mr. Flamboyant,,,,
tanqueray gin,"Seattle, Washington, L.A / Bear with me if I stutter, I'm kind of twisted off Tanqueray",mr. flamboyant,Mr. Flamboyant,,alcoholic beverage,,
ragu spaghetti sauce,Don’t be mad at me though chock it up as a loss / I get saucier than Ragu spaghetti sauce,shut it down,Mr. Flamboyant,,,,
